Array X,Array Y,Experiment,Valid,alpha,mu,mu1,mu2,r2_double,r2_single,sigma,sigma1,sigma2,Value
0,0,2016-04-15 MM Adhesion Pt612 Maxima Only,true,1.00100063433477,0.0222389536755415,0.0224545098059207,0.0572818772940071,0.964429250872308,0.964469960381414,1.67962467386192,1.65459400996225,1.67651865628759,1
0,2,2016-04-15 MM Adhesion Pt612 Maxima Only,true,0.973785534680513,0.0827108426471153,0.0806684451978113,28.0783976344512,0.862676652466625,0.857362552043303,0.726192977972373,0.597153477499971,15.1609276847909,0
0,3,2016-04-15 MM Adhesion Pt612 Maxima Only,true,0.980648605943119,0.0514736931795526,0.0506654431061421,0.125759889493754,0.811361389319036,0.811355779587907,1.48169025130535,1.46111218039397,1.48032978186335,0
1,0,2016-04-15 MM Adhesion Pt612 Maxima Only,true,0.988044506075378,0.0442102968528189,0.0441726975209663,0.0472789859746947,0.92278732303349,0.922787192661614,0.845449623112162,0.845562304266353,0.837448329214271,0
1,1,2016-04-15 MM Adhesion Pt612 Maxima Only,true,1.66138412462679,0.0445185464195209,0.098242261706562,0.381710820117232,0.972784396952182,0.962077835044938,0.946031387223768,2.53211379607028,1.00608594754131,0
1,2,2016-04-15 MM Adhesion Pt612 Maxima Only,true,1.35588285461261,0.0363813141929026,0.0571852781987064,0.279054330009554,0.983973522787086,0.980531875224401,1.35822842033511,2.50729229777485,1.3963761158445,0
1,3,2016-04-15 MM Adhesion Pt612 Maxima Only,true,0.82327874778997,0.0542826065755467,0.0479666387892427,0.215731163750327,0.865629908867829,0.814206068473639,0.863804935629806,0.25287026629638,1.37691052290198,0
2,0,2016-04-15 MM Adhesion Pt612 Maxima Only,true,0.947460531066521,0.0589875950689086,0.0596516009442494,15706.6931946452,0.975453696809879,0.956572926050053,1.01882218455191,0.719981970387403,5286.3543021398,0
2,1,2016-04-15 MM Adhesion Pt612 Maxima Only,true,23.4267664391281,0.121675499516353,8.20619230529171,6.99445024679852,0.878531255098633,0.822638145866552,0.981830029463556,5.21595975587135,3.27829446489558,0
2,2,2016-04-15 MM Adhesion Pt612 Maxima Only,true,0.985115717997095,0.0400554796121189,0.0404515913053215,3457.03295151631,0.952847552109999,0.95065047399833,1.40207751526393,1.24399140791732,1047.22525319103,1
2,3,2016-04-15 MM Adhesion Pt612 Maxima Only,true,1.97657211900474,0.0656390475154764,0.163030604789717,0.422406665401229,0.986800791990456,0.981671499185955,0.914579880821763,2.07433826712752,0.978513958929256,0
3,0,2016-04-15 MM Adhesion Pt612 Maxima Only,true,2.24165265457756,0.033713413584572,0.0603873625273817,0.0955673429500005,0.777714768459799,0.777349436712179,1.59273354726131,1.83426994292943,1.56397849118471,0
3,1,2016-04-15 MM Adhesion Pt612 Maxima Only,true,1.72809225425009,0.0576062963010632,0.193142363874418,1.08376818446493,0.982686257137996,0.966173495173212,1.28017607955796,4.9589442741805,0.931183142543271,0
3,2,2016-04-15 MM Adhesion Pt612 Maxima Only,true,1.39428039217053,0.030068649565221,0.0555367256220016,0.459544264203426,0.92068603844471,0.911781236825257,1.33797132143452,3.84365361932453,1.05766884597719,0
3,3,2016-04-15 MM Adhesion Pt612 Maxima Only,true,0.343223194746851,0.0408486448356482,0.0881081935943133,0.0219777971665111,0.886511060213928,0.865566311323866,0.71868841903509,0.112888610823278,0.795765872455562,0
